15:28:46 [Başlangıç] Managed: 1 MB | Process: 148 MB
15:28:47 [Kapak hazırlandı] Managed: 1 MB | Process: 157 MB
15:28:47 [Revizyon Tablosu hazırlandı] Managed: 1 MB | Process: 157 MB
15:28:47 [İncelenen Dökümanlar hazırlandı] Managed: 1 MB | Process: 158 MB
15:28:47 [Header/Footer hazırlandı] Managed: 1 MB | Process: 158 MB
15:28:47 [Makine görselleri eklendi] Managed: 1 MB | Process: 158 MB
15:28:47 [Otomatik tablolar eklendi] Managed: 1 MB | Process: 159 MB
15:28:49 [Bölge 1 - Risk 27 (Risk 1) eklendi] Managed: 2 MB | Process: 219 MB
15:28:49 [AltChunk ile birleştirme başlıyor] Managed: 2 MB | Process: 219 MB
15:28:50 [AltChunk ile birleştirme bitti (Rapor tamamlandı)] Managed: 2 MB | Process: 283 MB
15:28:50 [Temp dosyalar silindi (İşlem bitti)] Managed: 2 MB | Process: 283 MB
15:32:05 [Başlangıç] Managed: 1 MB | Process: 151 MB
15:32:05 [Kapak hazırlandı] Managed: 1 MB | Process: 160 MB
15:32:05 [Revizyon Tablosu hazırlandı] Managed: 1 MB | Process: 160 MB
15:32:05 [İncelenen Dökümanlar hazırlandı] Managed: 1 MB | Process: 161 MB
15:32:05 [Header/Footer hazırlandı] Managed: 1 MB | Process: 161 MB
15:32:05 [Makine görselleri eklendi] Managed: 1 MB | Process: 162 MB
15:32:05 [Otomatik tablolar eklendi] Managed: 2 MB | Process: 162 MB
15:32:07 [Bölge 1 - Risk 27 (Risk 1) eklendi] Managed: 2 MB | Process: 228 MB
15:32:07 [AltChunk ile birleştirme başlıyor] Managed: 2 MB | Process: 228 MB
15:32:09 [AltChunk ile birleştirme bitti (Rapor tamamlandı)] Managed: 2 MB | Process: 293 MB
15:32:09 [Temp dosyalar silindi (İşlem bitti)] Managed: 2 MB | Process: 293 MB
15:39:52 [Başlangıç] Managed: 1 MB | Process: 196 MB
15:39:52 [Kapak hazırlandı] Managed: 2 MB | Process: 196 MB
15:39:52 [Revizyon Tablosu hazırlandı] Managed: 2 MB | Process: 195 MB
15:39:52 [İncelenen Dökümanlar hazırlandı] Managed: 2 MB | Process: 196 MB
15:39:52 [Header/Footer hazırlandı] Managed: 2 MB | Process: 196 MB
15:39:52 [Makine görselleri eklendi] Managed: 2 MB | Process: 197 MB
15:39:52 [Otomatik tablolar eklendi] Managed: 2 MB | Process: 200 MB
15:39:54 [Bölge 1 - Risk 27 (Risk 1) eklendi] Managed: 2 MB | Process: 241 MB
15:39:54 [AltChunk ile birleştirme başlıyor] Managed: 2 MB | Process: 241 MB
15:39:56 [AltChunk ile birleştirme bitti (Rapor tamamlandı)] Managed: 2 MB | Process: 309 MB
15:39:56 [Temp dosyalar silindi (İşlem bitti)] Managed: 2 MB | Process: 309 MB
16:13:14 [Başlangıç] Managed: 1 MB | Process: 162 MB
16:13:14 [Kapak hazırlandı] Managed: 1 MB | Process: 173 MB
16:13:14 [Revizyon Tablosu hazırlandı] Managed: 1 MB | Process: 173 MB
16:13:14 [İncelenen Dökümanlar hazırlandı] Managed: 1 MB | Process: 173 MB
16:13:14 [Header/Footer hazırlandı] Managed: 1 MB | Process: 174 MB
16:13:14 [Makine görselleri eklendi] Managed: 1 MB | Process: 175 MB
16:13:14 [Otomatik tablolar eklendi] Managed: 1 MB | Process: 175 MB
16:13:17 [Bölge 1 - Risk 27 (Risk 1) eklendi] Managed: 2 MB | Process: 240 MB
16:13:17 [Bölge 1 - Risk 28 (Risk 2) eklendi] Managed: 2 MB | Process: 240 MB
16:13:17 [AltChunk ile birleştirme başlıyor] Managed: 2 MB | Process: 240 MB
16:13:20 [AltChunk ile birleştirme bitti (Rapor tamamlandı)] Managed: 2 MB | Process: 296 MB
16:13:20 [Temp dosyalar silindi (İşlem bitti)] Managed: 2 MB | Process: 296 MB
16:18:13 [Başlangıç] Managed: 1 MB | Process: 253 MB
16:18:13 [Kapak hazırlandı] Managed: 1 MB | Process: 253 MB
16:18:13 [Revizyon Tablosu hazırlandı] Managed: 1 MB | Process: 253 MB
16:18:13 [İncelenen Dökümanlar hazırlandı] Managed: 1 MB | Process: 253 MB
16:18:13 [Header/Footer hazırlandı] Managed: 2 MB | Process: 253 MB
16:18:13 [Makine görselleri eklendi] Managed: 2 MB | Process: 253 MB
16:18:13 [Otomatik tablolar eklendi] Managed: 2 MB | Process: 254 MB
16:18:15 [Bölge 1 - Risk 27 (Risk 1) eklendi] Managed: 2 MB | Process: 209 MB
16:18:15 [Bölge 1 - Risk 28 (Risk 2) eklendi] Managed: 2 MB | Process: 209 MB
16:18:15 [AltChunk ile birleştirme başlıyor] Managed: 2 MB | Process: 209 MB
16:18:16 [AltChunk ile birleştirme bitti (Rapor tamamlandı)] Managed: 2 MB | Process: 297 MB
16:18:17 [Temp dosyalar silindi (İşlem bitti)] Managed: 2 MB | Process: 297 MB
16:37:23 [Başlangıç] Managed: 2 MB | Process: 178 MB
16:37:24 [Kapak hazırlandı] Managed: 2 MB | Process: 187 MB
16:37:24 [Revizyon Tablosu hazırlandı] Managed: 2 MB | Process: 187 MB
16:37:24 [İncelenen Dökümanlar hazırlandı] Managed: 2 MB | Process: 187 MB
16:37:24 [Header/Footer hazırlandı] Managed: 2 MB | Process: 187 MB
16:37:24 [Makine görselleri eklendi] Managed: 2 MB | Process: 188 MB
16:37:24 [Otomatik tablolar eklendi] Managed: 2 MB | Process: 189 MB
16:37:26 [Bölge 1 - Risk 27 (Risk 1) eklendi] Managed: 3 MB | Process: 220 MB
16:37:26 [Bölge 1 - Risk 28 (Risk 2) eklendi] Managed: 3 MB | Process: 220 MB
16:37:26 [AltChunk ile birleştirme başlıyor] Managed: 3 MB | Process: 220 MB
16:37:28 [AltChunk ile birleştirme bitti (Rapor tamamlandı)] Managed: 3 MB | Process: 308 MB
16:37:28 [Temp dosyalar silindi (İşlem bitti)] Managed: 3 MB | Process: 308 MB
16:38:04 [Başlangıç] Managed: 2 MB | Process: 306 MB
16:38:04 [Kapak hazırlandı] Managed: 2 MB | Process: 306 MB
16:38:04 [Revizyon Tablosu hazırlandı] Managed: 2 MB | Process: 306 MB
